Images,OS distribution,Packages
gkiar/onevoxel:v0.3.0rc2,alpine:3.7.1,71
bids/rshrf:1.0.1,alpine:3.8.4,35
gkiar/mask2boundary:v0.1.0,alpine:3.9.0,61
bids/broccoli:v1.0.0,centos:6,253
mcin/docker-fsl:latest,centos:7,145
bids/nipypelines:0.3.0,debian:8,157
bids/baracus,ubuntu:14.04,218
bids/rs_signal_extract:0.1,ubuntu:16.04,241
bids/antscorticalthickness:v2.2.0-1,ubuntu:17.04,291
bids/afni_proc,ubuntu:17.10,277
mcin/ica-aroma:latest,centos:7,159
bids/magetbrain,ubuntu:18.04,167
mcin/qeeg:latest,centos:7,171
bt5e/ants:latest,centos:7,188
bigdatalabteam/hcp-prefreesurfer:exec-centos7-fslbuild-centos5-latest,centos:7,240
bigdatalabteam/hcp-prefreesurfer:exec-centos7.freesurferbuild-centos4-latest,centos:7,254
bids/brainiak-srm,ubuntu:16.04,258
gkiar/dwipreproc_fsl-5.0.11_minified,ubuntu:16.04,269
bids/mindboggle:0.0.4-1,debian:8,277
camarasu/creaphase:0.3,centos:7,288
bids/freesurfer,ubuntu:14.04,298
bids/mrtrix3_connectome,ubuntu:18.04,347
bids/spm,ubuntu:14.04,349
bids/aa:v0.2.0,ubuntu:14.04,353
poldracklab/mriqc:0.15.0,ubuntu:16.04,360
bids/hcppipelines:v3.17.0-18,debian:8,380
poldracklab/fmriprep:1.2.3,ubuntu:16.04,441
poldracklab/fmriprep:unstable,ubuntu:16.04,443
bids/dparsf:v4.3.12,ubuntu:14.04,506
bids/example,ubuntu:14.04,528
bids/tracula:v6.0.0-4,ubuntu:14.04,530
bids/ndmg:v0.1.0,ubuntu:14.04,537
bids/ndmg,ubuntu:14.04,538
bids/fibredensityandcrosssection,ubuntu:14.04,566
bids/cpac:v1.0.1a_22,ubuntu:16.04,600
bids/oppni:v0.7.0-1,ubuntu:14.04,762
bids/hyperalignment,ubuntu:16.04,815
bids/niak,ubuntu:16.04,889
